Date,GV6_0025,IGN-GV6_0006
2021-09-04T08:59:43.000Z,28,
2021-09-04T09:09:43.000Z,28.1,
2021-09-04T09:19:43.000Z,28.1,
2021-09-04T09:29:43.000Z,28.2,
2021-09-04T09:39:43.000Z,28.2,
2021-09-04T09:49:43.000Z,28.4,
2021-09-04T09:59:43.000Z,28.5,
2021-09-04T10:09:43.000Z,28.5,
2021-09-04T10:19:43.000Z,28.6,
2021-09-04T10:29:43.000Z,28.8,
2021-09-04T10:39:43.000Z,28.9,
2021-09-04T10:49:43.000Z,29.1,
2021-09-04T10:59:43.000Z,29.3,
2021-09-04T11:09:43.000Z,29.4,
2021-09-04T11:19:43.000Z,29.7,
2021-09-04T11:29:43.000Z,29.9,
2021-09-04T11:39:43.000Z,30,
2021-09-04T11:49:43.000Z,30.1,
2021-09-04T11:59:43.000Z,30.2,
2021-09-04T12:09:43.000Z,30.2,
2021-09-04T12:19:43.000Z,30.3,
2021-09-04T12:29:43.000Z,30.3,
2021-09-04T12:39:43.000Z,30.3,
2021-09-04T12:49:43.000Z,30.4,
2021-09-04T12:59:43.000Z,30.5,
2021-09-04T13:09:43.000Z,30.3,
2021-09-04T13:19:43.000Z,30.2,
2021-09-04T13:29:43.000Z,30.1,
2021-09-04T13:39:43.000Z,30,
2021-09-04T13:49:43.000Z,30,
2021-09-04T13:59:43.000Z,29.9,
2021-09-04T14:09:43.000Z,29.8,
2021-09-04T14:19:43.000Z,29.9,
2021-09-04T14:29:43.000Z,29.9,
2021-09-04T14:39:43.000Z,29.8,
2021-09-04T14:49:43.000Z,29.7,
2021-09-04T14:59:43.000Z,29.7,
2021-09-04T15:09:43.000Z,29.6,
2021-09-04T15:19:43.000Z,29.5,
2021-09-04T15:29:43.000Z,29.5,
2021-09-04T15:39:43.000Z,29.5,
2021-09-04T15:49:43.000Z,29.6,
2021-09-04T15:59:43.000Z,29.8,
2021-09-04T16:09:43.000Z,29.9,
2021-09-04T16:19:43.000Z,30,
2021-09-04T16:29:43.000Z,30,
2021-09-04T16:39:43.000Z,29.9,
2021-09-04T16:49:43.000Z,29.9,
2021-09-04T16:59:43.000Z,29.8,
2021-09-04T17:09:43.000Z,29.7,
2021-09-04T17:19:43.000Z,29.6,
2021-09-04T17:29:43.000Z,29.6,
2021-09-04T17:39:43.000Z,29.5,
2021-09-04T17:49:43.000Z,29.4,
2021-09-04T17:59:43.000Z,29.4,
2021-09-04T18:09:43.000Z,29.3,
2021-09-04T18:19:43.000Z,29.3,
