serie,titre,tome,isbn,genre,nom_s,prenom_s,nom_d,prenom_d,editeur,date_parution
Les guides en BD,Le guide du jeune couple,1,2869672500,Humour,Goupil, Jacky,Tybo,,Vents d'Ouest,1993-08-01
Peter Pan,Tempête,3,2869672926,Aventure,Loisel, Régis,Loisel, Régis,Vents d'Ouest,1994-11-01
Pyrénée,Pyrénée,,2869675194,Aventure,Loisel, Régis,Sternis, Philippe,Vents d'Ouest,1998-12-01
Peter Pan,Mains rouges,4,2869675208,Aventure,Loisel, Régis,Loisel, Régis,Vents d'Ouest,1996-09-01
Les guides en BD,Le guide de la retraite,9,2869676107,Humour,Goupil, Jacky,Tybo,,Vents d'Ouest,1997-08-01
Les guides en BD,Le guide de la trentaine,11,2869676891,Humour,Boublin,,Marceau,,Vents d'Ouest,1998-02-01
Peter Pan,Crochet,5,2869678495,Aventure,Loisel, Régis,Loisel, Régis,Vents d'Ouest,2002-01-01
Rapaces,"Rapaces, Tome 2",2,2871292957,Fantastique-Etrange,Dufaux, Jean,Marini, Enrico,Dargaud,2000-05-01
Rapaces,"Rapaces, Tome 1",1,2871293163,Fantastique-Etrange,Dufaux, Jean,Marini, Enrico,Dargaud,2000-01-01
Rapaces,"Rapaces, Tome 3",3,2871293481,Fantastique-Etrange,Dufaux, Jean,Marini, Enrico,Dargaud,2001-05-01
Boule et Bill (Editions Dargaud),Les V'la,25,2871293880,Humour,Roba, Jean,Roba, Jean,Dargaud,2001-10-13
Rapaces,"Rapaces, Tome 4",4,2871294550,Fantastique-Etrange,Dufaux, Jean,Marini, Enrico,Dargaud,2003-08-01
Al' Togo,297 km,1,2871295026,Polar-Thriller,Morvan, Jean-David,Savoia, Sylvain,Dargaud,2003-04-01
Boule et Bill (Editions Dargaud),Quel cirque,29,2871295824,Humour,Collectif,,Verron, Laurent,Dargaud,2003-10-30
Al' Togo,Midi Zuid,2,2871295956,Polar-Thriller,Morvan, Jean-David,Savoia, Sylvain,Dargaud,2004-04-01
Al' Togo,Trajna Policja,3,2871297371,Polar-Thriller,Morvan, Jean-David,Savoia, Sylvain,Dargaud,2005-08-01
Les pionniers du nouveau monde,Le grand dérangement,2,2871350019,Historique,Charles, Jean-François,Charles, Jean-François,Éditions Michel Deligne,1985-01-01
Les larmes de pourpre,Le domaine maléfique,1,2872652442,Fantastique-Etrange,Dupriez, Jean-Louis,Speltens, Olivier,P&T Productions,2003-05-01
Dragon Ball,Kamehameha,2,2876952068,Mangas - Shônen,Toriyama, Akira,Toriyama, Akira,Glénat Manga,1993-06-01
Dragon Ball,L'initiation,3,2876952076,Mangas - Shônen,Toriyama, Akira,Toriyama, Akira,Glénat Manga,1993-09-01
Lanfeust de Troy,L'ivoire du Magohamoth,1,2877642577,Héroic - Fantasy,Arleston, Christophe,Tarquin, Didier,Soleil Productions,1994-09-01
Lanfeust de Troy,Castel Or-Azur,3,2877643948,Héroic - Fantasy,Arleston, Christophe,Tarquin, Didier,Soleil Productions,1996-10-01
Kookaburra,Planète Dakoï,1,2877645630,Science-Fiction,Crisse, Didier,Crisse, Didier,Soleil Productions,1997-02-01
Lanfeust de Troy,Le paladin d'Eckmül,4,2877645665,Héroic - Fantasy,Arleston, Christophe,Tarquin, Didier,Soleil Productions,1996-11-01
